user_id,gender_preference,budget_min,budget_max,location_preference,branch_preference,cleanliness_level,noise_tolerance,smoking_tolerance,pets_tolerance,party_tolerance
1,Any,5000,10000,Chembur,INFT,2,1,True,False,True
2,Male,5000,10000,Dadar,CMPN,1,2,True,True,True
3,Any,5000,20000,Dadar,EXCS,5,5,True,True,False
4,Any,5000,20000,Matunga,INFT,2,1,True,False,False
5,Male,5000,10000,Dadar,BIOMED,4,2,False,True,True
6,Male,15000,20000,Chembur,EXCS,2,1,True,True,False
7,Any,10000,10000,Wadala,BIOMED,4,3,False,False,True
8,Female,15000,20000,Wadala,BIOMED,4,1,False,False,True
9,Any,10000,15000,Wadala,INFT,5,1,True,True,True
10,Any,10000,15000,Chembur,CMPN,3,1,False,True,True
11,Any,25000,25000,Matunga,BIOMED,4,4,True,False,True
12,Any,15000,25000,Chembur,INFT,1,4,True,False,True
13,Male,5000,15000,Dadar,BIOMED,5,3,True,True,False
14,Any,10000,25000,Chunabhatti,EXCS,4,5,False,True,False
15,Female,5000,10000,Chunabhatti,CMPN,5,4,True,False,False
16,Male,10000,15000,Chunabhatti,BIOMED,1,5,False,True,True
17,Female,10000,25000,Wadala,CMPN,5,4,False,False,False
18,Female,5000,25000,Chembur,CMPN,5,2,True,True,False
19,Female,15000,20000,Chembur,EXCS,4,2,True,False,True
20,Female,10000,25000,Wadala,EXCS,2,1,True,False,False
21,Male,25000,25000,Dadar,EXTC,5,5,False,False,False
22,Male,20000,25000,Chunabhatti,CMPN,4,1,False,False,True
23,Female,10000,20000,Chunabhatti,BIOMED,1,1,True,False,True
24,Female,10000,20000,Wadala,EXCS,1,4,False,False,False
25,Male,5000,10000,Chunabhatti,BIOMED,2,4,True,True,True
26,Male,5000,25000,Matunga,CMPN,1,1,True,False,True
27,Male,5000,25000,Chembur,EXCS,4,4,False,True,False
28,Any,20000,20000,Chunabhatti,EXTC,2,2,False,True,True
29,Any,5000,25000,Chunabhatti,CMPN,4,2,False,False,True
30,Any,10000,15000,Matunga,BIOMED,2,5,True,False,False
31,Female,10000,20000,Dadar,EXTC,2,2,False,True,False
32,Any,15000,25000,Dadar,CMPN,4,1,False,False,False
33,Female,10000,25000,Matunga,EXCS,2,3,True,False,True
34,Female,10000,25000,Dadar,CMPN,4,4,False,True,True
35,Any,10000,10000,Wadala,INFT,1,1,False,False,False
36,Female,5000,25000,Matunga,BIOMED,1,4,False,False,False
37,Any,5000,25000,Chembur,EXCS,5,5,False,False,False
38,Any,5000,15000,Chembur,EXCS,3,1,False,False,True
39,Male,10000,15000,Chembur,INFT,3,1,True,False,False
40,Any,5000,15000,Chunabhatti,EXTC,1,1,True,True,False
41,Male,15000,25000,Matunga,EXCS,5,5,True,False,True
42,Any,10000,25000,Matunga,EXTC,3,1,True,True,True
43,Any,10000,25000,Dadar,EXTC,4,4,True,False,False
44,Male,5000,5000,Matunga,EXTC,4,3,False,True,True
45,Male,5000,10000,Matunga,CMPN,2,1,False,False,False
46,Any,10000,25000,Dadar,INFT,3,5,True,False,False
47,Female,20000,25000,Matunga,BIOMED,4,5,False,False,True
48,Male,10000,25000,Matunga,INFT,3,1,False,False,True
49,Female,10000,15000,Wadala,EXCS,2,5,False,True,False
50,Female,15000,20000,Dadar,INFT,1,2,True,True,True
51,Female,20000,20000,Wadala,BIOMED,5,5,True,False,True
52,Male,10000,15000,Chunabhatti,CMPN,2,3,False,True,False
53,Female,15000,25000,Dadar,EXCS,2,2,True,True,True
54,Male,10000,15000,Matunga,CMPN,2,4,True,True,True
55,Female,15000,20000,Matunga,EXCS,5,2,False,True,False
56,Any,5000,10000,Wadala,BIOMED,4,3,True,True,False
57,Any,5000,10000,Wadala,CMPN,3,2,False,True,True
58,Male,10000,20000,Chunabhatti,BIOMED,1,1,True,True,True
59,Any,15000,15000,Chunabhatti,BIOMED,1,5,False,False,False
60,Any,5000,20000,Matunga,INFT,5,1,False,False,False
61,Female,25000,25000,Chembur,EXCS,1,1,True,True,True
62,Male,10000,10000,Chunabhatti,EXTC,5,1,False,True,False
63,Female,5000,10000,Matunga,EXTC,5,2,False,True,True
64,Female,10000,25000,Chunabhatti,CMPN,3,4,True,False,False
65,Female,5000,25000,Dadar,BIOMED,3,5,False,True,False
66,Female,5000,20000,Wadala,INFT,5,2,True,False,True
67,Female,5000,15000,Matunga,EXCS,3,1,True,False,True
68,Female,5000,15000,Chunabhatti,CMPN,4,3,True,True,False
69,Female,10000,20000,Wadala,BIOMED,2,3,True,True,True
70,Male,5000,25000,Chembur,EXTC,1,1,True,False,True
71,Any,5000,15000,Chunabhatti,EXTC,1,4,False,False,True
72,Female,5000,15000,Matunga,EXCS,1,5,False,False,True
